Language,English,German,Spanish,Russian
STR_SYS_93,Random 16,Random 16,Al azar 16,Случайно 16
STR_SYS_94,Random 18,Random 18,Al azar 18,Случайно 18
STR_SYS_95,Random 22,Random 22,Al azar 22,Случайно 22
STR_SYS_95_1,All the Smallest random,Die kleinste zufällige Städte,Aleatoriamente todos los pequeños,Случайно все мелкие

STR_SYS_96,Time of day:,Uhrzeit:,Tiempo:,Время:

STR_SYS_97,STATUS,STATUS,ESTATUS,СТАТУС
STR_SYS_98,Call Artillery,Call Artillerie,Llamar a la artillería,Вызвать артиллерию
STR_SYS_99,Call Drop,Call Drop,Activar restablecimiento,Десантирование груза
STR_SYS_99_1,Climb over obstacle,Klettern über Hindernis,Trepar por encima del obstáculo,Перелезть через препятствие

STR_SYS_100,CONGRATULATIONS!,Herzlichen GLÜCKWUNSCH!,¡U-R-R-A-A-A!,У-Р-Р-А-А-А!
STR_SYS_101,We cleared Sahrani from enemies...,Wir gelöscht Sahrani von Feinden...,Hemos limpiado la isla del enemigo...,Мы очистили остров от врага...
STR_SYS_102,Peace to YOU!!!,Friede sei mit EUCH!!!,¡Cuidado con el mundo!!!,Берегите мир!!!
STR_SYS_103,Cancelling...,Stornierung...,Cancelación...,Отмена...
STR_SYS_104,Attention:,Achtung:,Atención:,Внимание:
STR_SYS_105,An enemy presence detected in %1! Wipe them out!,Ein Feind Anwesenheit erkannt in %1! Wischen Sie aus!,¡Se ha detectado una presencia enemiga en %1! ¡Despejen!,В %1 обнаружено вражеское присутствие! Зачистить!
STR_SYS_106,Excellent!,Ausgezeichnet!,¡Excelente!,Отлично!
STR_SYS_107,You cleaned %1.,Sie gereinigt %1,Has limpiado %1,Вы зачистили %1
STR_SYS_108,Good job! You completed mopping-up %1,Gute Arbeit! Sie Sammelmittelübertragung %1.,¡Excelente! Has limpiado %1,Отлично! Вы зачистили %1
STR_SYS_109,For the mopping-up of the city you get points ( +%1 ) !,"Für die Sammelmittelübertragung der Stadt, die Sie erhalten Punkte ( +%1 ) !",¡Obtendrás puntos por barrer la ciudad ( +%1 ) !,За зачистку города вы получаете очки ( +%1 ) !

STR_SYS_110,No medics logged in...,Kein Mediziner angemeldet..,No hay jugadores en el papel del médico...,Игроки в роли медика отсутствуют...
STR_SYS_111,No rescue rangers logged in...,Rettungskräfte fehlen...,Los jugadores en el papel de artillero de rescate están ausentes...,Игроки в роли артиллериста-спасателя отсутствуют...
STR_SYS_112,No combat engineers logged in...,Die Spieler in die Rolle von Militär-Ingenieur fehlen...,Los jugadores en el papel de ingeniero militar están ausentes...,Игроки в роли военного инженера отсутствуют...
STR_SYS_113,Governor (%1) is not detected within a radius of %2m!,Der Gouverneur (%1) nicht erkannt im Umkreis von %2m!,¡El gobernador (%1) está muerto o ha escapado vergonzosamente (no en un Radio de %2m)!,"Губернатор (%1) либо мёртв, либо позорно сбежал (нет в радиусе %2м.)!"
STR_SYS_114,alive,lebendig,vivo,жив
STR_SYS_115,Some corpse in the uniform of the Governor is found in %1 m from the red zone center. Direction %2 gr.,Einige Leiche in der uniform des Gouverneurs wird in %1 m vom Zentrum der roten zone gefunden. Richtung %2 gr.,Un cadáver con uniforme de gobernador se encuentra a 1 m. del centro de la zona roja. Por ejemplo. %2 gr.,Какой-то труп в форме губернатора валяется в %1 м. от центра красной зоны. Напр. %2 гр.
STR_SYS_115_0,Some corpse in the uniform of the Governor is found at center of the red zone center,Einige Leiche in der uniform des Gouverneurs wird im Zentrum der roten zone Mitte gefunden,Un cadáver con uniforme de gobernador está tirado en el centro de la zona roja,Какой-то труп в форме губернатора валяется в самом центре красной зоны
STR_SYS_115_1,and healthy,und gesund,y saludable,и здоров
STR_SYS_115_2,but wounded,aber verwundet,pero herido,но ранен
STR_SYS_115_3,but seriously wounded,aber ernsthaft verletzt,pero gravemente herido,но серьёзно ранен
STR_SYS_116,"Partisans inform: Governor %1, dist. %2 m., dir. %3 deg. from the centre of the red zone (The data is not accurate)","Die Partisanen berichten: Der Gouverneur %1, Dist. %2 m, Richtung %3 Gr. vom Zentrum der roten Zone (Daten sind nicht genau)","Los guerrilleros informan: gobernador %1, dist. %2 m, P. ej. %3 gr. desde el centro de la zona roja (los datos no son exactos)","Партизаны сообщают: губернатор %1, дист. %2 м., напр. %3 гр. от центра красной зоны (данные не точные)"
STR_SYS_116_0,"Partisans report about the Governor: %1, spotted near the center of the red zone","Partisanen berichten über den Gouverneur: %1, in der Nähe der Mitte der roten zone entdeckt","Los guerrilleros informan: gobernador %1, distancia %2 m., por ejemplo, %3 gr. desde el centro de la zona roja","Партизаны сообщают о губернаторе: %1, замечен у центра красной зоны"

STR_SYS_117,The Hostages (alive %1 of %2) are within a %3 m radius from the center of side mission. %4,Die Geiseln (lebendig %1 von %2) sind innerhalb von %3 m Radius von der Mitte der Seite Mission. %4,Los rehenes (%1 vivo de %2) se encuentran en un Radio Aproximado de %3 m desde el punto de misión. %4,Заложники (в живых %1 из %2) находятся в примерном радиусе %3 м от точки задания. %4
STR_SYS_118,%1 now is the camp where our civilians are illegally held and subjected to torture. Your task: liberate the civilians and bring them to the base. To perform the job at least one hostage has to get to the base alive. (The mission can be completed only by a player in the role of rescuer).,"In %1 befindet sich das Lager, wo illegal festgehalten und gequält Zivilbevölkerung. Ihre Aufgabe: lösen Sie die Zivil-und liefern Sie an die Basis. Für die Ausführung des Auftrags mindestens eine Geisel muss erreichen der lebenden. (Eine Mission zu erfüllen, kann nur der Spieler in die Rolle der Retter).","En %1 hay un campamento donde la población civil es retenida y torturada ilegalmente. Su tarea: liberar a los civiles y llevarlos a la base. Para completar la tarea, al menos un rehén debe llegar a la base con vida. (Solo el jugador en el papel de salvavidas o líder del grupo puede completar la misión). ¡Atención! ¡El hechicero local informó que el enemigo estaba trayendo algunas instalaciones de máquinas allí!","В %1 расположен лагерь, где незаконно удерживается и подвергается пыткам гражданское население. Ваша задача: освободить гражданских и доставить их на базу. Для выполнения задания хотя бы один заложник должен добраться до базы живым. (Завершить миссию может только игрок в роли спасателя или лидер группы). Внимание! Местный колдун сообщил, что враг завозит туда какие-то станковые установки!"
STR_SYS_119,Combat mission accomplished! Prisoners released.,Combat Mission erfüllt! Die Gefangenen befreit.,¡Misión de combate cumplida! Prisioneros rescatados.,Боевая задача выполнена! Пленные спасены.

STR_SYS_120,The Side Mission was not received...,Die Nebenmission wurde nicht empfangen...,La misión lateral no fue recibida...,Дополнительное задание не получено...
STR_SYS_121,All secondary missions resolved!,Alle sekundären Missionen gelöst!,¡Todas las tareas adicionales completadas!,Все доп. задания выполнены!
STR_SYS_121_1,The enemy escaped! The population of the island will breathe quietly! And we will no longer be distracted by additional tasks!,Der Feind ist entkommen! Die Bevölkerung der Insel wird ruhig atmen! Und wir werden nicht länger von zusätzlichen Aufgaben abgelenkt!,¡El enemigo huyó! ¡La población de la isla respirará tranquilamente! ¡Y ya no nos distraeremos con tareas adicionales!,Враг бежал! Население острова вздохнёт спокойно! А мы больше не будем отвлекаться на дополнительные задания!
STR_SYS_121_2,"The enemy has escaped, and will not return","Feind ist entkommen, man kann vergessen dass er wieder kommt unerwarteter Angriff","¡El enemigo huyó, puede olvidarse de sus incursiones!","Враг бежал, можете забыть о его вылазках!"

STR_SYS_121_3_FULL,"For the complete liberation of the island, complete the SM and destroy the invaders",Für die vollständige Befreiung der Insel vervollständigen Sie die SM und die frei zurückeroberte Stadt,"Para la liberación completa de la isla, completa la misión adicional y destruye a los ocupantes","Для полного освобождения острова, завершите дополнительную миссию и уничтожьте оккупантов"
STR_SYS_121_3_SM,"For the complete liberation of the island, complete the SM",Für die vollständige Befreiung der Insel vervollständigen Sie die SM,"Para la liberación completa de la isla, completa la misión adicional","Для полного освобождения острова, завершите дополнительную миссию"
STR_SYS_121_3_RECAPTURED,"For the complete liberation of the island, free the recaptured town",Befreie die zurückeroberte Stadt für die vollständige Befreiung der Insel,"Para la liberación completa de la isla, destruir a los ocupantes","Для полного освобождения острова, уничтожьте оккупантов"

STR_SYS_122,No hostages detected,Die Geiseln wurden nicht gefunden,Rehenes no descubiertos,Заложники не обнаружены
STR_SYS_123,The leader is not detected,Der Führer nicht erkannt,Líder no detectado,Лидер не обнаружен
STR_SYS_124,Their leader at distance of about %1 m,Der Führer in einem Abstand von etwa %1 m,Líder a una distancia de aproximadamente %1 m,Лидер на расстоянии примерно %1 м
STR_SYS_125,Participating in the side mission execution you get points: +%1 and %2 !!!,"Für die Beteiligung an der Ausführung der zusätzlichen Arbeit, die Sie erhalten Punkte: +%1 und %2!!!",¡Obtendrás puntos por participar en la tarea adicional: +%1 y %2!!!,За участие в выполнении дополнительного задания вы получаете очки: +%1 и %2!!!
STR_SYS_126,Your team gets %1. Search: %2,Ihr Team bekommt von %1. Suchen: %2,Su escuadrón obtiene %1. Buscar: %2,Ваш отряд получает %1. Искать: %2
STR_SYS_127,Side mission accomplished,Die zusätzliche Aufgabe erfüllt,Tarea adicional completada,Дополнительное задание выполнено
STR_SYS_128,Congratulations...,Herzlichen Glückwunsch...,Felicitación...,Поздравления...
STR_SYS_129,Side mission failed!!!,Die zusätzliche Aufgabe ins Wanken!!!,¡Misión adicional fallida!!!,Дополнительное задание провалено!!!
STR_SYS_129_1,The sidemission target died due to a tragic accident...,Die Seite das Ziel der mission starb durch einen tragischen Unfall...,La persona programada para ser eliminada murió en el trágico incidente...,"Персона, намеченная к ликвидации, погибла в результате трагического инцидента..."
STR_SYS_129_2,The enemy decided to destroy the sidemission target by itself...,"Der Feind beschlossen, zu zerstören, die sidemission Ziel von selbst...",El enemigo decidió volar todo por sí mismo...,Враг решил взорвать все сам...
STR_SYS_129_3,The convoy reached its destination...,Der Konvoi sein Ziel erreicht...,El convoy llegó a su destino...,Конвой достиг места назначения...
STR_SYS_129_4,None or less than 8 prisoners made it back to base...,"Keine oder weniger als 8 Gefangenen gemacht, es zurück zur Basis...",¡Qué vergüenza! Menos de 8 rehenes sobrevivieron...,Позор! Осталось в живых менее 8 заложников...
STR_SYS_129_5,The enemy officer was killed...,Der feindliche Offizier getötet wurde...,El oficial enemigo se volvió loco y se disparó...,Вражеский офицер спятил и застрелился...
